#Table30: Reduced Zn transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1093.01,V,-1.24,-1.30,201973,293463
1094.09,V,0.41,0.39,236969,328369
1094.44,IV,-1.96,-1.97,130366,221737
1095.13,V,-0.97,-0.97,291107,382420
1095.42,V,-1.54,-1.66,222940,314229
1095.77,V,-0.63,-0.67,285885,377144
1095.80,V,-0.49,-0.51,235730,326987
1095.96,V,-0.41,-0.46,239843,331087
1096.30,V,-1.83,-1.83,230614,321830
1098.11,V,-0.61,-0.67,235599,326664
1099.97,V,-1.08,-1.11,285523,376434
1100.08,V,-1.80,-1.72,221631,312534
1100.53,V,-1.55,-1.55,198962,289827
1101.53,V,-1.67,-1.74,227195,317978
1102.43,V,-1.67,-1.73,231122,321830
1102.49,V,-0.66,-0.81,222940,313644
1103.60,V,-0.62,-0.65,236969,327581
1104.13,V,-1.69,-1.63,286575,377144
1104.20,V,0.13,0.13,291107,381670
1105.06,V,-2.10,-2.14,226334,316827
1105.55,V,-1.16,-1.09,226334,316786
1106.79,V,-0.06,-0.06,241829,332181
1106.96,V,-1.05,-1.03,230435,320772
1107.32,V,-0.07,-0.08,255482,345790
1107.59,V,-0.80,-0.81,235903,326189
1107.95,V,-1.10,-0.98,230614,320871
1109.08,V,0.03,-0.05,221631,311796
1109.17,V,-0.81,-0.77,230614,320772
1109.35,V,-1.14,-1.20,255482,345624
1109.89,IV,-1.08,-1.12,135951,226050
1110.82,V,-1.21,-1.15,232946,322969
1111.53,V,0.01,-0.05,256235,346201
1111.60,V,0.22,0.20,255763,345723
1111.79,V,-1.72,-1.83,231831,321776
1111.84,V,-1.77,-1.89,198962,288903
1112.83,V,0.01,-0.01,255763,345624
1113.65,V,-0.89,-0.98,291107,380902
1113.84,V,-1.27,-1.24,200644,290424
1114.48,V,0.18,0.21,221631,311359
1115.27,V,-0.19,-0.24,255482,345146
1115.45,V,-1.33,-1.40,231122,320772
1115.68,V,0.08,0.07,227195,316827
1115.80,IV,-2.41,-2.42,131805,221426
1116.18,V,-0.29,-0.32,227195,316786
1116.63,V,0.50,0.49,256235,345791
1116.70,V,-1.21,-1.20,230435,319984
1116.84,V,0.61,0.60,198962,288500
1117.47,V,-0.39,-0.29,256235,345723
1118.78,V,0.06,0.04,255763,345146
1119.10,V,-1.05,-1.08,291107,380464
1119.95,V,0.01,-0.01,255482,344771
1120.33,V,0.39,0.38,226334,315594
1120.55,V,-0.84,-0.98,239843,329085
1121.29,V,-2.20,-2.26,200644,289827
1121.61,V,-0.74,-0.61,237032,326189
1121.78,V,-1.11,-1.21,227195,316339
1122.50,V,0.25,0.24,240446,329533
1122.57,IV,-2.09,-2.10,135951,225033
1124.52,V,-1.85,-1.94,235599,324526
1124.72,V,-0.59,-0.52,256235,345146
1125.02,V,-0.02,-0.04,221631,310519
1125.05,V,0.08,0.02,228335,317220
1125.18,V,-1.51,-1.56,231997,320871
1126.66,V,-1.00,-0.92,201973,290731
1128.10,V,-0.62,-0.64,227195,315840
1128.24,V,-0.73,-0.76,221631,310265
1128.81,V,-0.57,-0.55,255482,344070
1129.90,V,-0.34,-0.35,226334,314838
1130.05,V,-0.17,-0.19,228335,316827
1130.24,V,-0.11,-0.10,222042,310519
1130.57,V,-2.35,-2.24,201973,290424
1130.88,V,-2.23,-2.21,231831,320257
1131.24,V,-0.22,-0.25,227195,315594
1131.79,V,-0.40,-0.38,222940,311296
1132.27,V,0.10,0.08,208715,297033
1132.41,V,-1.21,-1.06,255763,344070
1132.66,V,0.44,0.43,235599,323886
1133.03,V,0.48,0.48,200644,288903
1133.13,V,0.17,0.16,228335,316586
1133.28,V,0.23,0.22,241829,330069
1133.50,V,-0.08,-0.10,222042,310265
1133.72,IV,-1.37,-1.43,138479,226685
1135.32,V,-0.87,-0.78,208715,296796
1135.59,V,-0.41,-0.40,200644,288704
1136.31,V,-0.26,-0.23,228335,316339
1136.42,IV,-0.77,-0.77,148180,236175
1136.60,V,-0.35,-0.33,198962,286943
1136.99,V,-0.55,-0.57,201973,289925
1137.36,V,-1.30,-1.22,240446,328369
1137.63,V,-0.20,-0.24,235730,323632
1138.25,V,0.41,0.40,201973,289827
1138.50,V,0.19,0.16,256235,344070
1138.67,V,-1.11,-1.17,230614,318436
1138.94,V,-1.53,-1.56,231831,319632
1139.28,V,-0.48,-0.48,202929,290704
1140.00,V,-0.60,-0.63,222940,310659
1140.70,V,0.43,0.41,286575,374241
1140.80,IV,-2.01,-1.99,135951,223609
1141.00,V,-0.06,-0.07,227195,314838
1141.10,V,-0.33,-0.27,231997,319632
1141.34,V,-0.42,-0.45,222042,309658
1141.93,IV,-1.91,-1.94,138479,226050
1142.11,V,-0.93,-1.02,236969,324526
1142.79,V,-0.64,-0.58,228335,315840
1142.93,V,0.30,0.29,202929,290424
1142.94,V,0.23,0.24,237032,324526
1143.20,V,-0.57,-0.58,203548,291022
1143.40,V,-0.09,-0.08,255763,343221
1144.14,V,-0.05,-0.01,210973,298375
1145.15,V,-0.64,-0.65,222940,310265
1146.06,V,-0.49,-0.52,241829,329085
1146.15,V,-0.45,-0.51,234582,321830
1147.02,V,0.13,0.10,203548,290731
1147.37,V,-0.31,-0.33,203548,290704
1147.65,V,0.00,-0.01,255482,342616
1148.55,V,-1.04,-0.97,235903,322969
1148.92,V,0.00,0.05,232946,319984
1149.40,V,0.23,0.22,227195,314197
1149.49,V,0.01,-0.01,202929,289925
1149.61,V,0.08,0.06,256235,343221
1149.63,IV,-1.33,-1.33,149191,236175
1149.87,V,0.60,0.59,226334,313300
1150.50,IV,-1.09,-1.10,149191,236109
1150.74,V,-0.08,-0.09,212471,299372
1151.37,V,-0.09,-0.11,255763,342616
1151.39,V,-0.87,-1.00,230614,317466
1152.27,V,-1.17,-1.10,230435,317220
1152.99,V,0.20,0.18,201973,288704
1153.16,V,-0.84,-0.95,222940,309658
1154.43,IV,-1.20,-1.20,148180,234802
1155.03,V,-0.19,-0.19,208715,295293
1155.36,IV,-2.37,-2.38,138479,225033
1155.52,V,-1.37,-1.40,240446,326987
1155.73,V,-0.42,-0.39,232946,319472
1155.83,IV,-1.05,-1.07,138479,224998
1156.04,V,-1.85,-1.83,228335,314838
1156.39,V,0.20,0.19,285885,372360
1156.69,V,-1.26,-1.27,208715,295168
1157.66,V,-1.20,-1.24,256235,342616
1157.73,V,-1.06,-0.91,203548,289925
1158.76,V,0.33,0.31,200644,286943
1159.98,V,-1.46,-1.54,230435,316643
1160.09,V,-0.94,-0.82,226334,312534
1160.22,V,-0.54,-0.54,234582,320772
1160.40,V,-1.82,-1.80,235599,321776
1160.80,V,-1.71,-1.71,231831,317978
1160.83,V,-0.44,-0.43,255482,341627
1161.97,V,-0.41,-0.45,210973,297033
1162.28,V,0.27,0.26,291107,377144
1162.40,V,-0.56,-0.67,230614,316643
1163.78,V,-0.34,-0.33,235903,321830
1164.10,V,-0.48,-0.44,212471,298375
1164.63,V,-0.45,-0.46,255763,341627
