#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1007.13,IV,-0.26,-0.20,213665,312957
1007.34,V,-2.28,-2.27,221664,320935
1007.50,V,-1.11,-1.07,223214,322470
1007.56,V,-1.84,-1.73,223214,322464
1007.90,IV,-2.32,-2.22,231825,331042
1008.05,IV,-0.91,-0.97,192753,291954
1008.76,VI,-1.34,-1.41,309046,408178
1008.78,IV,-1.41,-1.29,215133,314262
1008.85,IV,-0.65,-0.77,191762,290885
1008.94,IV,-0.36,-0.48,190528,289642
1009.12,V,-2.18,-2.16,265975,365071
1009.14,VI,-1.53,-1.47,299282,398377
1009.16,V,-1.43,-1.38,223477,322569
1009.24,IV,-2.03,-2.04,218726,317811
1009.25,VI,-1.86,-1.79,299293,398377
1009.64,IV,-0.51,-0.52,190528,289573
1009.75,V,-1.31,-1.45,226889,325923
1009.90,IV,0.16,0.24,190554,289573
1009.98,IV,-0.17,-0.20,191762,290774
1010.11,IV,-1.17,-1.09,221602,320601
1010.17,V,-1.83,-1.80,223477,322470
1010.21,IV,-0.66,-0.64,192741,291730
1010.31,IV,-0.55,-0.40,220917,319896
1010.33,V,-1.90,-1.88,223214,322192
1010.35,IV,0.01,0.01,190554,289530
1011.02,V,-1.81,-1.72,222886,321796
1011.23,IV,-1.97,-1.90,194132,293022
1011.36,IV,-2.33,-2.25,228480,327357
1011.37,IV,-1.22,-1.19,222666,321542
1011.84,IV,-0.34,-0.38,192741,291571
1012.06,IV,-0.54,-0.49,192753,291562
1012.24,IV,0.08,0.22,191762,290553
1012.79,IV,0.11,0.13,233299,332036
1012.83,IV,-0.99,-0.91,198179,296912
1012.86,VI,-1.18,-1.12,299293,398023
1013.16,IV,-1.84,-1.95,213360,312061
1013.52,IV,-0.14,-0.07,222398,321064
1013.81,IV,-0.89,-0.88,214319,312957
1013.86,V,-1.94,-1.88,256272,354905
1013.87,V,-2.08,-2.04,265975,364607
1013.89,V,-1.73,-1.72,226889,325519
1014.25,IV,-1.07,-1.14,218138,316732
1014.35,IV,-0.54,-0.49,197325,295910
1014.69,V,-2.40,-2.28,221664,320216
1014.73,IV,-1.75,-1.62,213535,312083
1014.76,IV,-1.22,-1.19,192753,291299
1014.85,IV,-1.42,-1.41,222527,321064
1014.94,IV,-0.72,-0.68,215734,314262
1015.03,IV,-0.80,-0.89,217079,315599
1015.04,V,-1.98,-1.94,239541,338059
1015.55,IV,0.53,0.59,222666,321135
1015.56,IV,-1.75,-1.72,217445,315912
1015.98,IV,-1.14,-1.26,195086,293514
1016.07,IV,-0.28,-0.21,214835,313253
1016.30,IV,-1.78,-1.67,213665,312061
1016.32,IV,-0.32,-0.41,192753,291147
1016.38,IV,-1.69,-1.78,230331,328720
1016.38,IV,-1.69,-1.78,230331,328720
1016.61,IV,-0.83,-0.71,213360,311727
1016.69,VI,-2.15,-2.10,308998,407356
1017.16,V,-2.32,-2.33,226311,324624
1017.18,IV,-0.10,0.02,214319,312630
1017.22,IV,-0.43,-0.50,194132,292440
1017.34,IV,0.17,0.22,193434,291730
1017.39,IV,-1.88,-1.90,217621,315912
1017.39,IV,-1.56,-1.64,218726,317017
1017.55,V,-2.34,-2.31,256272,354548
1017.69,VI,-0.95,-0.89,299143,397404
1017.85,IV,-0.84,-0.87,221650,319896
1017.86,VI,-2.09,-2.02,309111,407356
1018.03,V,-1.28,-1.20,223214,321443
1018.45,IV,-1.91,-1.93,195827,294015
