#list of all IG-element (stages III-VI) transitions found in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1168.05,Ti,V,-0.26,488225.70,573838.30
1168.17,Cr,IV,-2.37,247099.10,161495.30
1168.22,Cr,IV,-1.04,266878.00,181277.90
1168.37,Ni,V,-1.78,212253.40,297842.50
1168.58,Fe,V,-1.20,381547.00,295973.20
1168.63,Ni,V,-0.61,234082.10,319652.70
1168.78,Ni,VI,0.13,366299.80,451859.40
1168.93,Ti,V,-0.41,494035.70,579584.20
1168.94,Co,V,-1.50,251582.20,337129.90
1169.22,Ni,V,-1.18,212455.70,297982.80
1169.22,Ni,V,-2.02,234125.40,319652.70
1169.30,Ni,VI,0.27,347278.50,432800.10
1169.31,Co,VI,-0.40,304909.90,390430.30
1169.31,Fe,IV,-1.88,165493.10,251014.02
1169.31,Ni,VI,-0.58,374843.90,460364.60
1169.40,Co,VI,0.17,274319.00,359833.00
1169.52,Co,V,-0.92,255484.10,340989.50
1169.52,Co,VI,-0.73,308029.50,393534.60
1169.55,Co,VI,0.28,275088.00,360591.20
1169.82,Cr,IV,-1.25,247239.30,161756.30
1169.84,Cr,IV,-2.04,247546.70,162064.90
1169.89,Co,VI,0.41,295025.60,380503.40
1169.97,Co,IV,-0.92,159851.50,245323.90
1170.05,Fe,V,-1.29,387843.30,302377.10
1170.27,Ni,V,-0.17,306962.90,392413.50
1170.28,Fe,VI,-0.69,288638.30,374088.30
1170.34,Ni,VI,0.44,375673.00,461118.30
1170.63,Co,VI,0.29,354591.70,440016.00
1170.78,Fe,IV,-1.46,165600.96,251014.02
1170.85,Ni,VI,-0.04,297350.50,382758.90
1170.86,Co,VI,-0.21,307720.00,393127.00
1171.12,Ni,V,-0.71,307025.20,392413.50
1171.14,Ni,V,-0.94,212455.70,297842.50
1171.44,Ni,V,-1.12,240193.80,325558.60
1171.61,Fe,IV,-1.68,165804.47,251156.94
1171.68,Ni,V,-2.18,229408.80,314756.40
1171.71,Ni,V,-1.77,235736.50,321081.90
1171.71,Ni,V,-1.83,234275.20,319620.20
1171.74,Fe,V,-1.40,195196.30,280539.70
1171.74,Ni,V,-1.59,229413.00,314756.40
1171.94,Ti,IV,-0.71,321464.20,236135.29
1172.03,Ti,IV,-0.60,321464.20,236142.30
1172.06,Mn,V,-0.64,184635.60,269955.40
1172.09,Co,VI,-0.68,307692.00,393009.50
1172.09,Fe,V,-1.57,221305.20,306622.80
1172.12,Ni,V,-1.06,229440.60,314756.40
1172.20,Co,VI,0.03,273727.70,359037.00
1172.34,Co,V,-1.07,238390.30,323690.10
1172.35,Ti,V,-1.28,494035.70,579334.60
1172.43,Fe,IV,-2.42,165720.94,251014.02
1172.47,Fe,IV,-1.90,165600.96,250891.05
1172.47,Ni,V,-0.77,221087.60,306377.80
1172.52,Ni,V,-1.36,274773.50,360059.70
1172.58,Cr,V,-2.34,316674.90,231392.90
1172.58,Ni,V,-2.24,235736.50,321018.30
1172.59,Ni,VI,-0.49,295882.70,381163.80
1172.62,Ni,VI,-0.86,376343.70,461622.60
1172.83,Co,VI,-0.80,302688.80,387952.50
1172.88,Co,VI,0.40,276008.00,361268.20
1172.90,Co,VI,0.01,354782.80,440041.70
1172.95,Ni,V,-1.52,241082.20,326337.10
1173.01,Co,VI,-0.14,299534.00,384784.60
1173.09,Cr,IV,-0.83,247546.70,162301.40
1173.09,Fe,V,-1.62,365284.40,280039.60
1173.17,Co,V,-0.40,268877.00,354116.40
1173.68,Ni,VI,-0.92,336404.80,421607.20
1173.69,Ni,VI,-1.30,339335.80,424537.00
1173.71,V_,IV,-0.22,236766.90,151567.30
1173.72,Fe,V,-1.62,196838.60,282038.10
1173.78,Ni,VI,-0.25,332343.60,417538.40
1173.83,Ni,VI,-1.51,375927.10,461118.30
1173.90,Fe,V,-1.31,366018.20,280832.20
1174.12,Fe,IV,-1.54,165720.94,250891.05
1174.19,Ni,V,-0.65,212253.40,297418.10
1174.30,Co,VI,-0.49,305039.00,390195.80
