#list of all IG-element (stages II-V) transitions found in PG0909+276
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1192.33,Ni,V,-2.17,217048.70,300918.10
1192.35,Ti,V,0.31,488225.70,572093.90
1192.46,Mn,V,-1.81,176946.30,260806.20
1192.51,Ni,V,-1.14,243266.20,327122.70
1192.54,Ni,IV,-2.26,141577.20,225431.60
1192.55,Co,V,-2.15,236158.00,320012.10
1192.67,Cr,III,-1.16,25725.24,109570.89
1192.68,Ni,V,-1.00,208046.40,291891.40
1192.74,Fe,IV,-0.86,201212.22,285052.77
1192.79,Mn,III,-1.24,29241.40,113078.34
1192.85,Ni,V,-1.19,242504.30,326337.10
1193.02,Cr,IV,-2.39,241182.50,157361.40
1193.11,Co,V,-1.68,268885.80,352700.20
1193.24,Cr,IV,-1.46,265048.60,181243.10
1193.44,Cr,III,-1.87,25779.72,109570.89
1193.46,Cr,III,-1.20,25779.72,109569.58
1193.47,Ni,V,-2.39,217129.10,300918.10
1193.48,Cr,IV,-0.71,265031.60,181243.10
1193.50,Co,IV,-1.80,137280.90,221068.10
1193.58,Fe,III,-2.44,57221.01,141002.75
1193.60,Ni,V,-0.68,274695.40,358475.60
1193.73,Cr,IV,-0.96,265048.60,181277.90
1193.88,Ni,V,-1.14,208131.00,291891.40
1194.18,Ni,V,-2.01,242290.40,326029.90
1194.21,Ni,V,-1.26,274738.60,358475.60
1194.25,Ni,V,-0.86,232545.90,316280.30
1194.28,Ni,V,-0.72,240193.80,323926.30
1194.29,Co,IV,-1.12,137336.40,221068.10
1194.31,Co,V,-0.97,276608.80,360339.20
1194.61,Co,V,-1.50,241875.40,325584.50
1194.76,Co,IV,-2.34,144509.60,228208.50
1194.86,Ni,V,-1.86,242290.40,325982.20
1194.97,Co,V,-1.09,283592.10,367276.40
1195.10,Fe,V,-1.15,208838.20,292513.20
1195.17,Co,IV,-0.97,137280.90,220950.80
1195.19,Ni,V,-0.13,247049.10,330718.10
1195.20,Ti,IV,-0.17,212407.34,128739.59
1195.32,Ni,V,-1.91,240193.80,323853.10
1195.42,Cr,IV,-0.25,255836.90,172184.00
1195.49,Co,IV,-2.05,160351.40,243999.40
1195.68,Ni,V,-1.26,216590.50,300224.90
1195.76,Ni,V,-1.47,216596.00,300224.90
1195.89,Cr,IV,-0.63,255803.60,172184.00
1196.02,Ni,V,-1.16,216590.50,300201.00
1196.04,Cr,V,-0.04,318227.60,234618.40
1196.08,Cr,IV,-0.55,240967.90,157361.40
1196.10,Ni,V,-0.42,216596.00,300201.00
1196.11,Ni,IV,-2.08,141220.30,224824.90
1196.20,Fe,V,-0.92,195196.30,278794.20
1196.27,Cr,IV,-2.02,267469.00,183875.60
1196.31,Cr,III,-1.60,18510.09,102100.76
1196.31,Mn,V,-1.10,177874.20,261464.40
1196.43,Cr,III,-1.03,65762.08,149344.03
1196.45,Co,V,-0.51,236431.20,320012.10
1196.61,Fe,V,-0.81,195933.00,279502.60
1196.70,Co,III,-1.57,57225.60,140788.80
1196.75,Ni,IV,-2.15,141577.20,225136.90
1196.92,Co,IV,-1.97,140863.50,224411.00
1196.96,Ni,V,-0.75,243331.50,326876.30
1197.04,Co,V,-0.83,283736.70,367276.40
1197.09,Co,V,-2.01,235961.10,319497.20
1197.19,Fe,V,-1.49,196838.60,280367.20
1197.22,Co,V,-1.38,277330.20,360857.20
1197.24,Ni,V,-1.88,242504.30,326029.90
1197.28,Ni,V,-0.73,232545.90,316068.80
1197.32,Co,V,-1.60,242765.00,326285.10
1197.33,Ni,IV,-1.91,141577.20,225096.40
1197.34,Cr,III,-0.66,18582.39,102100.76
1197.34,Fe,IV,-2.34,137700.81,221219.29
1197.38,Ni,V,0.06,306962.90,390478.20
1197.40,Mn,V,-1.43,176946.30,260460.80
1197.46,Ni,V,-1.49,232655.60,316165.40
1197.46,Ni,V,-1.95,239107.70,322617.60
1197.71,Cr,IV,-1.46,257588.60,174096.20
1197.78,Ni,V,-0.73,233839.20,317327.30
1197.83,Co,V,-1.26,236431.20,319915.70
1197.85,Cr,IV,-0.36,256306.20,172823.20
1197.90,Mn,V,-1.23,177326.90,260806.20
1197.92,Cr,IV,-0.24,255662.30,172184.00
1197.97,Ni,V,-0.94,242862.60,326337.10
1197.99,Ni,V,-1.96,243266.20,326739.00
1198.00,Ni,V,-1.30,236454.10,319926.50
1198.14,Co,V,-1.43,251701.50,335164.10
1198.24,Ni,IV,-1.53,147635.90,231091.80
1198.27,Co,V,-1.00,236158.00,319611.90
1198.28,Cr,IV,0.07,254534.60,171081.30
1198.28,Ni,V,-0.10,307025.20,390478.20
1198.47,Co,IV,-2.46,136612.50,220052.20
1198.49,Mn,III,-1.10,29207.30,112645.31
1198.70,Ni,V,-1.27,208131.00,291554.60
1198.93,Ni,V,-0.67,243331.50,326739.00
1198.98,Mn,III,-1.79,29241.40,112645.31
1199.17,Ni,V,-2.06,225200.70,308592.00
1199.18,Ni,V,-2.19,208164.60,291554.60
1199.21,Co,IV,-2.38,141076.00,224463.90
1199.25,Co,V,-0.50,248098.90,331484.40
1199.27,Ni,IV,-2.02,148358.20,231742.00
1199.31,Cr,V,-0.69,318227.60,234846.40
1199.40,Ni,V,0.19,241773.60,325148.40
1199.45,Fe,IV,-2.09,137949.29,221320.54
1199.46,Co,III,-1.93,57225.60,140596.30
1199.49,Ni,V,-1.08,243370.50,326739.00
1199.65,Co,IV,-2.35,136611.20,219969.00
1199.93,Ni,V,-1.83,240193.80,323532.20
1199.95,Ni,V,-1.43,235736.50,319073.40
1200.07,Ni,V,-1.45,239107.70,322436.40
1200.10,Ni,V,-1.89,225616.50,308943.00
1200.18,Fe,V,-1.05,209110.10,292430.70
1200.43,Co,V,-2.04,241174.10,324477.50
1200.50,Mn,III,-1.65,61580.20,144879.10
1200.53,Mn,III,-2.25,218085.88,134789.10
1200.55,Cr,III,-1.60,18451.06,101746.21
1200.70,Co,V,-0.72,277330.20,360614.60
1201.13,Cr,IV,-2.34,267130.40,183875.60
1201.13,Ni,V,-1.84,232910.80,316165.40
1201.18,Ni,V,-1.04,234125.40,317376.80
1201.21,Cr,IV,-0.37,241182.50,157933.30
1201.22,Ni,V,-1.97,247049.10,330297.60
1201.23,Cr,III,-0.98,25725.24,108972.90
1201.23,Ni,IV,-1.36,141577.20,224824.90
1201.27,Ni,V,-1.11,234082.10,317327.30
1201.30,Ni,IV,-1.41,141220.30,224463.60
1201.31,Ni,V,-0.68,234275.20,317517.50
1201.38,Co,V,-0.19,277376.80,360614.60
1201.40,Cr,III,-0.79,18510.09,101746.21
1201.46,Fe,III,-1.86,57221.01,140452.95
1201.58,Ni,V,-0.38,263735.70,346959.50
1201.88,Cr,IV,-1.90,241832.50,158629.50
1201.91,Fe,V,-0.70,196838.60,280039.60
1201.92,Cr,IV,-1.64,255836.90,172636.40
1201.96,Co,V,-1.96,248855.90,332053.00
1202.03,Ni,V,0.12,247104.90,330297.60
1202.26,Ni,V,-0.43,263735.70,346912.40
1202.52,Co,V,-0.10,276608.80,359767.20
1202.53,Cr,IV,-0.36,266878.00,183720.30
1202.92,Co,V,-0.84,238390.30,321521.40
1202.93,Co,V,-2.06,277360.70,360490.70
1203.01,Ti,V,-0.33,491558.70,574683.80
1203.23,Co,V,-2.27,277747.90,360857.20
1203.26,Co,V,-2.12,249006.80,332114.20
1203.27,Ni,V,-0.15,263805.80,346912.40
1203.27,Ni,V,-0.48,234125.40,317232.00
1203.30,Co,V,-1.36,243455.20,326560.00
1203.30,Ni,IV,-1.17,141832.00,224936.90
1203.30,Ni,V,-0.31,234412.70,317517.50
1203.35,Ni,V,-0.72,234275.20,317376.80
1203.55,Co,IV,-1.82,137336.40,220423.70
1203.60,Cr,III,-1.43,25779.72,108863.78
1203.77,Ni,V,0.27,251654.90,334727.60
1203.83,Ni,IV,-0.75,141577.20,224645.70
1203.87,Ni,V,-0.79,234412.70,317477.90
1203.89,Co,IV,-2.44,153524.90,236588.90
1204.01,Cr,IV,-0.08,266931.70,183875.60
1204.03,Ni,V,-1.71,242504.30,325558.60
1204.13,Cr,V,-2.08,317893.80,234846.40
